,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_max_iter,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
104,0.002779579162597656,0.0007706904020369653,0.001940155029296875,0.0004428362864281032,2,6,rbf,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
318,0.003275465965270996,0.0003246122854305735,0.0023988962173461916,0.00035869044837085113,6,6,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
317,0.003501582145690918,0.00036181728410655556,0.0027006387710571287,0.00021108022490755424,6,6,linear,3000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
242,0.0043345212936401365,0.0006511552649648274,0.003138566017150879,0.0005614299051837339,5,3,poly,3000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
111,0.002374148368835449,0.00048347278116931287,0.0017425298690795898,0.0003265122037185255,3,1,rbf,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
112,0.0022104501724243162,0.00021234592642367116,0.0016819953918457032,0.0003338949128016983,3,1,rbf,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
101,0.002405667304992676,0.0005376558177775516,0.001868295669555664,0.0007703346558115169,2,6,linear,3000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
230,0.002635025978088379,0.0001845296484701254,0.001873183250427246,0.00011343955242017454,5,2,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
140,0.0036507129669189455,0.0005751100506385325,0.002514958381652832,0.00042236241584587365,3,4,rbf,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
139,0.0035123825073242188,0.00040201101265906214,0.002521109580993652,0.0002838362730216073,3,4,rbf,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
